Time,Result ID,URL,Load zone,User scenario,Status code,RTT min,RTT max,RTT avg,Count,Value,Method,Content types,Compressed count,Avg content length,Avg compressed content length,Content type,Custom metric/Page title,Custom metric type,Log severity level,Log message,Standard deviation,Median
2016-05-08 14:16:06.162130+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,42.0,,,,,,,,,,,,
2016-05-08 14:16:09.185585+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,43.0,,,,,,,,,,,,
2016-05-08 14:16:12.210815+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,44.0,,,,,,,,,,,,
2016-05-08 14:16:15.235272+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,45.0,,,,,,,,,,,,
2016-05-08 14:16:18.259905+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,46.0,,,,,,,,,,,,
2016-05-08 14:16:21.283009+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,47.0,,,,,,,,,,,,
2016-05-08 14:16:24.308082+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,48.0,,,,,,,,,,,,
2016-05-08 14:16:27.332912+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,49.0,,,,,,,,,,,,
2016-05-08 14:16:30.359235+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,50.0,,,,,,,,,,,,
2016-05-08 14:16:33.383385+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,51.0,,,,,,,,,,,,
2016-05-08 14:16:36.408511+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,52.0,,,,,,,,,,,,
2016-05-08 14:16:39.431494+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,53.0,,,,,,,,,,,,
2016-05-08 14:16:42.454304+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,54.0,,,,,,,,,,,,
2016-05-08 14:16:45.477190+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,55.00000000000001,,,,,,,,,,,,
2016-05-08 14:16:48.501865+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,56.00000000000001,,,,,,,,,,,,
2016-05-08 14:16:51.524999+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,56.99999999999999,,,,,,,,,,,,
2016-05-08 14:16:54.550453+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,57.99999999999999,,,,,,,,,,,,
2016-05-08 14:16:57.573742+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,59.0,,,,,,,,,,,,
2016-05-08 14:17:00.598852+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,60.0,,,,,,,,,,,,
2016-05-08 14:17:03.627227+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,61.0,,,,,,,,,,,,
2016-05-08 14:17:06.651223+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,62.0,,,,,,,,,,,,
2016-05-08 14:17:09.674872+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,63.0,,,,,,,,,,,,
2016-05-08 14:17:12.700054+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,64.0,,,,,,,,,,,,
2016-05-08 14:17:15.728649+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,65.0,,,,,,,,,,,,
2016-05-08 14:17:18.753864+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,66.0,,,,,,,,,,,,
2016-05-08 14:17:21.778314+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,67.0,,,,,,,,,,,,
2016-05-08 14:17:24.803915+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,68.0,,,,,,,,,,,,
2016-05-08 14:17:27.827591+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,69.0,,,,,,,,,,,,
2016-05-08 14:17:30.852652+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,70.0,,,,,,,,,,,,
2016-05-08 14:17:33.876252+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,71.0,,,,,,,,,,,,
2016-05-08 14:17:36.900305+00:00,__li_progress_percent_total,,Aggregated (World),,,,,,,72.0,,,,,,,,,,,,
